model,MASE-90-scaled,CRPS-90-scaled,Rank-90-scaled,eval_metrics/MAE[0.5]-6-unscaled,CRPS-6-unscaled,Rank-6-unscaled
toto,0.617,0.519,1.244,0.116,0.333,2.000
timesfm_2_0_500m,0.685,0.603,4.156,0.150,0.390,3.667
moirai_1.1_large,0.767,0.621,4.267,0.202,0.624,7.167
moirai_1.1_base,0.779,0.630,4.567,0.203,0.537,5.500
moirai_1.1_small,0.786,0.631,4.944,0.202,0.548,5.500
chronos_bolt_base,0.711,0.637,5.467,0.213,0.563,5.833
chronos_bolt_small,0.717,0.642,5.667,0.176,0.468,4.333
time-moe,0.810,0.788,8.989,0.244,1.123,8.167
timer,0.807,0.793,9.244,0.296,1.363,10.833
autoarima,0.922,0.880,9.667,0.350,1.255,9.333
visionts,0.912,0.885,10.922,0.365,1.047,10.667
seasonalnaive,1.000,1.000,11.400,0.217,0.952,7.333
autoets,0.969,15.664,12.033,0.275,1.865,11.833
autotheta,1.030,1.182,12.433,0.383,2.290,12.833
